,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
2583,9,12,0,0.11,2014,0,1754.0,0,2,86.08,Premium
1236,5,7,4,0.0,2016,0,2000.0,1,20,82.92,Bueno
1141,2,3,4,0.11,2012,1,1450.0,0,2,83.42,Bueno
1134,17,1,4,0.13,2015,0,1200.0,0,0,83.42,Bueno
2170,15,15,4,0.1,2013,0,600.0,0,0,79.75,Estándar
762,11,15,4,0.11,2012,1,1250.0,0,2,80.17,Bueno
1267,6,0,4,0.11,2012,1,399.46357817738493,0,10,82.83,Bueno
1811,11,15,4,0.17,2012,1,1500.0,0,6,74.92,Estándar
1742,11,15,4,0.11,2012,1,1050.0,0,3,78.08,Estándar
165,15,15,4,0.0,2014,1,525.0,0,1,83.83,Bueno
2534,2,3,4,0.0,2013,0,1800.0,1,0,85.92,Premium
1147,3,3,4,0.12,2014,1,1300.0,0,3,83.33,Bueno
716,14,3,1,0.11,2014,1,1680.0,1,4,80.75,Bueno
2908,3,3,4,0.0,2014,0,1300.0,0,0,85.33,Premium
1562,7,2,0,0.13,2015,1,1450.0,0,1,81.17,Bueno
2883,18,11,4,0.12,2013,1,1950.0,0,1,86.83,Premium
587,0,0,0,0.11,2018,1,890.0,0,5,81.67,Bueno
478,11,15,4,0.11,2012,1,1300.0,0,0,82.33,Bueno
1149,14,15,4,0.11,2012,1,390.17372752209695,0,4,83.33,Bueno
752,7,3,0,0.1,2016,1,1400.0,0,4,80.25,Bueno
1419,11,15,4,0.11,2012,1,1250.0,0,1,82.08,Bueno
