,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
268,11,0,4,0.12,2013,1,1300.0,0,6,83.25,Bueno
269,11,3,4,0.12,2012,0,1000.0,0,0,83.25,Bueno
270,6,0,4,0.11,2012,1,399.46357817738493,0,9,83.25,Bueno
271,0,16,3,0.11,2012,0,1200.0,0,1,83.25,Bueno
272,2,3,4,0.12,2012,1,175.0,0,1,83.25,Bueno
273,2,3,4,0.11,2012,1,1775.0,0,0,83.25,Bueno
274,0,0,0,0.11,2018,1,890.0,0,4,83.17,Bueno
275,6,0,4,0.1,2017,1,1901.0,0,1,83.17,Bueno
276,16,0,4,0.12,2016,1,168.0,0,3,83.17,Bueno
277,19,1,0,0.07,2017,1,1550.0,0,0,83.17,Bueno
278,6,3,4,0.11,2016,1,1500.0,2,3,83.17,Bueno
279,7,2,4,0.11,2016,0,1450.0,0,1,83.17,Bueno
280,1,1,4,0.11,2015,1,1200.0,0,0,83.17,Bueno
281,1,1,4,0.1,2015,1,1600.0,0,3,83.17,Bueno
282,4,0,4,0.0,2016,1,1350.0,0,0,83.17,Bueno
283,6,0,4,0.11,2015,1,1500.0,0,1,83.17,Bueno
284,6,0,4,0.12,2015,1,1650.0,0,3,83.17,Bueno
285,9,12,4,0.1,2014,0,250.5,0,1,83.17,Bueno
286,16,7,4,0.13,2014,0,1653.0,0,6,83.17,Bueno
287,18,11,4,0.1,2014,0,1800.0,0,0,83.17,Bueno
288,7,2,0,0.1,2013,1,1450.0,0,5,83.17,Bueno
289,7,3,0,0.11,2015,1,1350.0,0,3,83.17,Bueno
290,6,2,4,0.09,2014,1,464.49253276440106,0,1,83.17,Bueno
291,16,0,4,0.12,2014,1,1800.0,0,1,83.17,Bueno
292,6,0,4,0.11,2013,1,399.46357817738493,0,2,83.17,Bueno
293,11,15,4,0.11,2013,1,1500.0,0,2,83.17,Bueno
294,11,15,4,0.12,2012,1,532.0,3,8,83.17,Bueno
295,11,8,4,0.14,2012,1,1089.0,0,10,83.17,Bueno
296,2,3,4,0.11,2012,1,1775.0,1,2,83.17,Bueno
297,11,15,4,0.13,2012,1,700.0,0,5,83.17,Bueno
298,2,3,4,0.11,2012,0,1750.0,0,0,83.17,Bueno
299,0,6,0,0.12,2012,1,1000.0,0,1,83.17,Bueno
300,0,6,0,0.11,2012,1,950.0,0,4,83.17,Bueno
301,6,0,4,0.0,2012,1,427.333130143249,0,10,83.17,Bueno
302,0,6,3,0.12,2011,0,1000.0,0,3,83.17,Bueno
303,2,3,4,0.0,2016,1,1799.0,0,4,83.08,Bueno
304,0,16,2,0.11,2015,0,905.0,0,2,83.08,Bueno
305,0,16,0,0.0,2016,1,1.0,0,3,83.08,Bueno
306,15,15,0,0.0,2015,1,750.0,0,0,83.08,Bueno
307,0,0,4,0.0,2015,1,1200.0,0,1,83.08,Bueno
308,3,2,4,0.1,2014,1,1300.0,0,3,83.08,Bueno
309,0,0,0,0.0,2018,1,890.0,0,4,83.0,Bueno
310,0,0,0,0.11,2016,1,894.0,0,5,83.0,Bueno
311,0,0,0,0.11,2016,0,872.0,0,3,83.0,Bueno
312,18,0,4,0.12,2015,1,1473.0,0,6,83.0,Bueno
313,18,0,0,0.12,2015,1,1645.0,0,8,83.0,Bueno
314,19,3,1,0.0,2014,1,1550.0,0,0,83.0,Bueno
315,6,2,4,0.11,2015,1,1550.0,0,3,83.0,Bueno
316,6,2,4,0.11,2015,1,418.04327948796094,0,2,83.0,Bueno
317,6,0,4,0.11,2015,1,1500.0,0,2,83.0,Bueno
318,0,2,0,0.0,2014,1,1000.0,0,0,83.0,Bueno
319,15,15,4,0.08,2014,1,1200.0,0,0,83.0,Bueno
320,18,11,4,0.12,2013,1,1800.0,0,0,83.0,Bueno
321,14,7,4,0.0,2013,0,260.11581834806464,0,0,83.0,Bueno
322,6,0,4,0.1,2014,1,1500.0,1,0,83.0,Bueno
323,3,2,4,0.11,2013,1,1200.0,0,3,83.0,Bueno
324,0,16,3,0.12,2014,0,1250.0,0,4,83.0,Bueno
